PST_PT_C,SPOT_NUM,PST_SEV_CD,PST_SEV_DS,PST_SPC_CD,PST_CMN_NM,PST_LTN_NM,PST_CM_CD,PST_CM_DSC,CPTR_YR,NUM_TREES,AREA_HA,ORG_UNITNO,TR_SPCS_CD,TR_CM_NM,COMMENTS,GEOMETRY,OBJECTID,X,Y
1254,275182021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,FD,Douglas-fir,,,1625656,-122.49160455593103,50.83336561603797
1255,275192021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,21,FD,Douglas-fir,,,1625657,-120.13896628014218,50.73493626848253
1256,275202021,S,Severe,IBB,Western Balsam Bark Beetle,Dryocoetes confusus,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,27,BL,subalpine fir,,,1625658,-124.02244154459132,50.871361709121274
1257,275212021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,20,0.25,27,PL,lodgepole pine,,,1625659,-124.42786306781197,50.87918084414833
1258,275222021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1828,FD,Douglas-fir,,,1625660,-122.48866282267585,50.83545732739257
1259,275232021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,29,FD,Douglas-fir,,,1625661,-119.61642605574656,50.70821851434267
1260,275242021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,29,FD,Douglas-fir,,,1625662,-119.62034931997724,50.70925850321184
1261,275272021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,29,FD,Douglas-fir,,,1625665,-119.6333823104023,50.71204222285924
1262,275292021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,30,0.25,27,PL,lodgepole pine,,,1625667,-124.44632986837836,50.88404552505217
1263,275322021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,20,0.25,21,FD,Douglas-fir,,,1625670,-120.62602957625349,50.767911944544835
1264,275342021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,21,FD,Douglas-fir,,,1625672,-120.53189634528245,50.764586630496936
1265,275372021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,1831,PA,whitebark pine,,,1625675,-116.1612290478202,50.46503241427569
1266,275392021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,29,FD,Douglas-fir,,,1625677,-118.50454993685976,50.64865986028636
1267,250552021,S,Severe,DSB,White pine Blister Rust,Cronartium ribicola,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,23,PW,western white pine,,,1623193,-122.91563855142827,49.66421688596166
1268,250562021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,57,FD,Douglas-fir,,,1623194,-119.0471878114456,49.48592731478373
1269,250572021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,1831,FD,Douglas-fir,,,1623195,-114.60051605324561,49.10605593864293
1270,250582021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,1,0.25,43,FD,Douglas-fir,,,1623196,-125.07543619332083,49.705980657654585
1271,250592021,S,Severe,IBS,Spruce Beetle,Dendroctonus rufipennis,OS,Overview Survey Sketchmapping Fixed Wing,2021,3,0.25,23,SX,spruce hybrid,,,1623197,-122.90654745831462,49.66649001824231
1853,273682021,S,Severe,IBM,Mountain Pine Beetle,Dendroctonus ponderosae,OS,Overview Survey Sketchmapping Fixed Wing,2021,20,0.25,1831,PA,whitebark pine,,,1625506,-116.30288226121942,50.38380892350268
1854,273702021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,57,FD,Douglas-fir,,,1625508,-117.97898593076019,50.521319944427056
1855,273732021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,21,FD,Douglas-fir,,,1625511,-120.78294735027423,50.68970101468456
1856,273752021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,21,FD,Douglas-fir,,,1625513,-120.75742648297516,50.68945624116755
1857,273782021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,10,0.25,57,FD,Douglas-fir,,,1625516,-117.85406995526478,50.51536749673116
1858,273802021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,20,0.25,1831,FD,Douglas-fir,,,1625518,-115.81830541254297,50.34779999905348
1859,273832021,S,Severe,IBD,Douglas-fir Beetle,Dendroctonus pseudotsugae,OS,Overview Survey Sketchmapping Fixed Wing,2021,5,0.25,21,FD,Douglas-fir,,,1625521,-120.73804077729802,50.692058137941665
